month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,mississippi,ms,234950,-0.0071,0.0327,4427,0.0882,-0.3524,50,0.020408163,-0.382716049,2164,-0.0092,0.0464,108,-0.0357,-0.5714,1104,0.1845,-0.1534,4147,0.0247,-0.0482,109.1605293,-0.0116,0.0585,1982.5,-0.0088,-0.0367,320617.7521,-0.0309,0.117,8574,0.0566,-0.234,0.936751751,-0.0581,0.2994
202108,illinois,il,264950,-0.0183,0.019,33409,0.037,-0.2078,45,0.046511628,-0.181818182,19020,-0.081,-0.0351,256,-0.2809,-0.5844,9884,0.0905,-0.1604,30388,-0.0402,-0.1031,143.828125,0.0005,0.1381,1569,-0.0051,-0.0666,394060.1315,-0.0338,0.0185,63797,-0.0013,-0.1612,0.909575264,-0.0732,0.1062
202108,kentucky,ky,249900,0,0.0413,6866,0.1326,-0.1259,37,0,-0.372881356,4592,0.025,0.2072,116,0.0741,-0.3556,2244,0.1288,0.0645,9294,0.0205,-0.0339,129.2902323,0.0062,0.1421,1814,0.0078,-0.0707,343451.1696,-0.018,0.0523,16160,0.0653,-0.0753,1.353626566,-0.1487,0.1289
202108,missouri,mo,246900,-0.0084,0.0735,11515,0.0595,-0.1678,40,0.052631579,-0.322033898,7788,-0.0702,0.146,256,-0.453,-0.5817,3704,0.078,0.0755,15011,0.0005,-0.029,134.1123084,0.0072,0.1564,1744,-0.0068,-0.0748,347406.674,-0.01,0.0779,26526,0.0253,-0.0946,1.303603995,-0.077,0.1864
202108,district of columbia,dc,582400,0.0059,-0.1434,1703,-0.0502,0.153,42.5,0.118421053,0.370967742,804,-0.2664,-0.2024,8,-0.6,-0.7143,448,-0.1825,-0.0508,1114,-0.0693,1.8564,553.2877093,-0.0307,-0.0515,1054.5,0.0268,-0.1198,919000.5008,-0.0064,-0.1053,2817,-0.0579,0.5088,0.654139753,-0.0135,0.3901
202108,massachusetts,ma,625000,-0.037,-0.031,9263,0.0059,-0.2326,34.5,0.112903226,-0.197674419,7540,-0.0388,-0.0608,180,0,-0.2241,2384,0.0383,-0.2106,3569,0.033,-0.24,352.4080896,-0.0364,0.076,1760,0.0023,-0.0852,1137689.783,-0.0381,0.0092,12832,0.0133,-0.2347,0.38529634,0.0101,-0.0037
202108,connecticut,ct,469200,-0.0423,0.2034,7944,0.0232,-0.5194,42,0.166666667,-0.142857143,4652,-0.0806,-0.2072,204,0.8889,-0.32,2028,0.0284,-0.1716,10102,-0.0525,58.076,237.9260309,0.0537,0.2966,1939.5,-0.1058,-0.0817,1069414.192,-0.0646,0.3241,18046,-0.0206,0.0805,1.271651561,-0.1016,1.2613
202108,california,ca,732500,-0.0232,0.0174,46680,0.0113,-0.1157,36.5,0.042857143,-0.170454545,38276,-0.0723,0.0429,1712,-0.0404,-0.1909,11588,0.0994,-0.0658,53086,-0.0163,-0.1113,432.65625,-0.0168,0.0746,1760,-0.0096,-0.0497,1543387.386,-0.0196,0.0425,99766,-0.0036,-0.1133,1.137232219,-0.0319,0.0057
202108,colorado,co,579073,-0.0014,0.1032,12476,0.0466,-0.3449,33.5,0.116666667,-0.355769231,10352,-0.0731,-0.019,452,-0.2313,-0.5516,4144,0.094,-0.2658,13935,-0.0009,-0.2263,263.4052679,0.0061,0.139,2176,-0.0041,-0.0465,1192998.398,0.0007,0.1679,26411,0.021,-0.2873,1.116944534,-0.0531,0.1711
202108,virginia,va,375000,-0.0106,0.0277,16792,0.0238,-0.1503,34,0.0625,-0.306122449,12396,-0.0909,0.0935,648,-0.1606,-0.5525,5112,0.125,0.2183,17949,-0.0361,0.2797,189.0750603,-0.0003,0.1607,1913,-0.0052,-0.1106,545743.0972,-0.0132,0.043,34741,-0.0081,0.0282,1.068901858,-0.0664,0.3592
202108,indiana,in,234500,-0.0225,-0.0017,8741,0.0914,-0.1433,34.5,0.045454545,-0.295918367,7296,0.0022,0.1753,148,-0.4032,-0.5432,3676,0.2436,0.0527,8099,0.0261,-0.1068,120.6109195,-0.0009,0.1117,1880,-0.01,-0.0665,315566.7614,-0.0185,0.0314,16840,0.059,-0.1261,0.926553026,-0.059,0.0379
202108,new jersey,nj,447000,0.0045,-0.0045,25722,0.0254,-0.1424,39.5,0.097222222,-0.05952381,14376,-0.0749,-0.1073,484,0.0254,-0.3564,5156,0.0583,-0.1153,19744,-0.0229,1.0309,0,,,0,,,649618.0089,-0.0024,0.0045,45466,0.0039,0.1448,0.767591945,-0.0379,0.4434
202108,iowa,ia,225750,-0.0077,0.0169,7754,0.0537,-0.2943,50.5,0.01,-0.268115942,3692,-0.0043,-0.0355,788,-0.088,0.3493,2560,0.194,-0.1233,8336,-0.0907,-0.0066,139.2780744,0.0007,0.0842,1570.5,-0.0079,-0.0341,278257.2584,0.0064,0.079,16090,-0.0264,-0.1697,1.075058035,-0.1706,0.3114
202108,pennsylvania,pa,269900,-0.0185,0.0381,22110,0.036,-0.1276,43.5,0.06097561,-0.194444444,14020,-0.055,0.095,536,-0.0694,-0.4704,7492,0.0558,0.0534,25397,-0.0188,0.7581,146.9375,-0.0093,0.1456,1612.5,-0.0119,-0.062,386871.3629,-0.0359,0.0107,47507,0.006,0.1939,1.148665762,-0.0641,0.5787
202108,oklahoma,ok,234950,0.0009,0.0105,7095,0.0988,-0.2424,41.5,0.0375,-0.271929825,4600,0.0323,0.1477,176,-0.0222,-0.5728,2180,0.0878,-0.1224,9150,0.009,0.0736,125.0284479,0.0135,0.103,1804,-0.0077,-0.098,339325.6759,-0.0167,0.0757,16245,0.0464,-0.0918,1.289640592,-0.1147,0.3795
202108,alabama,al,275000,0.0185,0.062,10083,0.1091,-0.293,35.5,-0.013888889,-0.436507937,6208,-0.0537,0.0808,380,0.092,-0.5602,2788,0.1734,-0.103,7899,0.0413,0.0975,130.7511425,0.0083,0.126,1941,0.0005,-0.0717,384204.8696,-0.0014,0.1254,17982,0.0783,-0.162,0.783397798,-0.0511,0.2787
202108,georgia,ga,364950,-0.0134,0.1062,29593,0.0711,-0.3083,36,0.058823529,-0.294117647,23012,-0.0266,0.0407,1408,0.0539,-0.6014,8580,0.0239,-0.2172,39503,-0.0372,-0.0324,145.9069803,-0.0006,0.1779,1856.5,-0.0208,-0.1121,513013.7,-0.0239,0.1304,69096,0.0064,-0.1736,1.334876491,-0.1502,0.3806
202108,nevada,nv,437499.5,0.0242,0.2324,7004,0.1011,-0.3071,28,0,-0.348837209,5132,0.0431,0.0638,308,-0.0494,-0.2596,2132,0.2169,-0.2429,1880,0.0201,-0.2416,234.3026028,0.02,0.2295,1877,0.0146,-0.0032,747119.9975,-0.0008,0.2408,8884,0.0829,-0.2942,0.268418047,-0.0213,0.0232
202108,minnesota,mn,319900,-0.0151,0.0353,12314,0.0841,-0.2153,35,0,-0.239130435,9128,-0.0289,-0.026,208,-0.1613,-0.4694,3844,0.2119,-0.0052,13153,-0.0335,-0.0017,172.8177471,-0.002,0.1143,1867.5,-0.0024,-0.0704,413094.653,-0.0048,0.0224,25467,0.02,-0.1178,1.068133831,-0.1299,0.2285
202108,michigan,mi,252450,-0.0287,-0.0096,19171,0.1042,-0.2144,30.5,0.016666667,-0.39,14428,-0.0473,0.077,344,-0.3485,-0.5,6552,0.216,0.0031,14645,0.0874,-0.1406,155.71875,-0.0062,0.1042,1608.5,-0.012,-0.084,378226.8911,-0.0149,0.0412,33816,0.0969,-0.184,0.763914245,-0.0118,0.0656
202108,washington,wa,575000,-0.0085,0.1501,8907,0.0992,-0.3316,29.5,-0.016666667,-0.202702703,10256,-0.0172,0.0855,920,-0.0873,-0.112,3096,0.3163,-0.0926,16019,0.0025,-0.0223,296.2300572,-0.0037,0.1726,1876.5,0.0198,-0.0508,781428.5375,-0.0199,0.1102,24926,0.035,-0.1611,1.798473111,-0.1735,0.5689
202108,new york,ny,569000,0.0161,0.0345,59377,0.0357,-0.1329,70.5,-0.034246575,0.084615385,20792,0.0533,-0.0383,736,-0.1822,-0.264,8652,-0.0571,-0.285,36920,0.0756,-0.1199,226.59375,-0.0004,0.0752,1331,-0.017,-0.0859,1321710.418,0.0871,0.1405,96297,0.0507,-0.1279,0.621789582,0.023,0.0092
202108,new mexico,nm,302395,-0.0085,0.061,4387,0.0344,-0.1709,48,0,-0.225806452,2260,-0.0105,0.06,100,-0.0741,-0.359,988,-0.0352,-0.1272,4030,0.0136,-0.0106,154.0556035,0.0099,0.1116,1935.5,-0.0018,-0.0323,477258.8074,0.0121,0.0928,8417,0.0243,-0.1011,0.918623205,-0.0189,0.1488
202108,florida,fl,395000,0.0154,0.1449,57152,0.0328,-0.4678,45,0.022727273,-0.415584416,34576,-0.0072,-0.0344,3288,0.0675,-0.452,14496,0.0393,-0.3873,69357,-0.04,-0.0405,233.28125,0.0119,0.2002,1622.5,0.0078,-0.0296,840094.3918,-0.0181,0.1816,126509,-0.0084,-0.2959,1.213553331,-0.0921,0.5405
202108,idaho,id,541500,-0.0153,0.3211,5140,0.18,0.177,31.5,0.125,-0.284090909,3644,-0.0204,0.2813,88,-0.3125,-0.7732,2640,0.1828,1.8205,5785,-0.007,0,272.2660059,-0.0005,0.3619,2115.5,-0.0114,-0.0349,837908.6656,-0.0374,0.1753,10925,0.073,0.0761,1.125486381,-0.212,-0.1992
202108,west virginia,wv,179450,0.0025,0.026,3253,0.0497,-0.3223,52,0,-0.380952381,1600,0.0076,0.0204,48,0.0909,-0.5385,708,-0.0167,-0.2532,3041,0.0013,0.1184,93.42672414,-0.0024,0.1222,1584.5,-0.0097,-0.0409,273529.0643,-0.0236,0.0847,6294,0.0257,-0.1629,0.934829388,-0.0452,0.3684
202108,tennessee,tn,345000,0.0003,0.0486,11014,0.0914,-0.2996,31,0.068965517,-0.326086957,8760,-0.0305,0.0162,436,0.1122,-0.6518,4104,0.0869,-0.0077,14583,0.026,-0.0363,165.9848534,0.0047,0.1498,1803,0.0056,-0.0994,529868.9635,-0.0051,0.1288,25597,0.0531,-0.1705,1.324042128,-0.0844,0.3618
202108,alaska,ak,339950,0.0148,0.0792,1832,0.0732,-0.236,36.5,0.073529412,-0.370689655,932,-0.1174,-0.0332,40,0.1111,-0.2308,756,0.1739,0.0107,139,0.112,-0.0347,194.3535968,-0.0043,0.0941,1743.5,0.0131,-0.0026,400372.6174,0.0171,0.0932,1971,0.0759,-0.2246,0.075873362,0.0026,0.0158
202108,south dakota,sd,279450,-0.0016,0.1006,2250,0.014,-0.2678,36.5,0.013888889,-0.298076923,1028,-0.1229,0.0239,36,0.5,-0.3571,324,0.08,-0.1649,960,-0.0093,-0.0062,155.3423237,0.0128,0.1772,1771,-0.0117,-0.0848,357901.5516,0.0031,0.0915,3210,0.0069,-0.2052,0.426666667,-0.01,0.1123
202108,utah,ut,591700,-0.0055,0.1858,5205,0.0723,-0.2463,24.5,0.065217391,-0.519607843,5156,0.0471,0.1499,336,0.4483,-0.5579,2040,0.3178,0.2814,9402,0.0234,-0.1016,240.6123803,-0.0001,0.2178,2490,-0.0084,-0.0334,1109836.78,-0.0397,0.1886,14607,0.0403,-0.1591,1.806340058,-0.0863,0.291
202108,wyoming,wy,325000,0.0062,0.1207,1794,0.0275,-0.3331,45,0.153846154,-0.285714286,820,-0.0848,-0.1564,24,-0.1429,-0.5385,412,0.3205,-0.1953,1007,0.0307,-0.1415,151.6475434,0.0391,0.1771,2114.5,-0.0174,-0.0406,880962.8678,-0.0106,0.3688,2801,0.0286,-0.2749,0.561315496,0.0018,0.1253
202108,oregon,or,525000,0,0.129,7730,0.0706,-0.1628,35,0.060606061,-0.3,6712,-0.0306,0.1423,2796,-0.0898,0.1516,3880,0.3055,-0.0628,11210,-0.0082,-0.1015,282.6431145,0.0012,0.2023,1880,-0.0048,-0.0675,711146.2564,-0.0009,0.1316,18940,0.0225,-0.1276,1.450194049,-0.1153,0.0988
202108,arizona,az,450000,0,0.146,9921,0.0758,-0.1567,32.5,0.048387097,-0.277777778,9808,0.0264,0.1232,512,0.0756,-0.5429,4144,0.0747,0.1092,16294,0.0478,-0.1161,240.8202528,0.0038,0.2108,1947.5,0.0008,-0.0505,685557.595,-0.0231,0.0743,26215,0.0583,-0.1319,1.642374761,-0.0438,0.0754
202108,new hampshire,nh,419450,-0.0128,0.0898,2363,0.0181,-0.2017,31,0.107142857,-0.295454545,2020,-0.0768,-0.0578,52,-0.0714,-0.6579,668,0.0915,0.1761,1981,0.0372,-0.2271,220.0803433,0.0091,0.1561,1889.5,-0.0159,-0.0515,571930.7161,-0.003,0.1197,4344,0.0267,-0.2135,0.838341092,0.0154,-0.0275
202108,louisiana,la,275000,0,0.1004,8772,0.0531,-0.3149,53.5,0.07,-0.286666667,3960,-0.0265,0.0554,144,-0.1429,-0.7231,2552,0.1475,-0.2162,9507,-0.0137,0.1731,139.6677051,0.0021,0.1173,1928.5,-0.0085,-0.025,381640.496,-0.0038,0.1306,18279,0.0173,-0.1257,1.08378933,-0.0734,0.4509
202108,rhode island,ri,420500,0.0014,0.0014,1565,0.1044,-0.1392,32,0.066666667,-0.346938776,1488,-0.0053,0.1239,16,-0.3333,-0.3333,408,0.36,0.1209,2640,0.0046,-0.0881,277.9358587,0.008,0.138,1550.5,-0.0029,-0.0793,732137.6697,-0.0588,-0.0149,4205,0.0396,-0.1078,1.686900958,-0.1677,0.0945
202108,kansas,ks,215000,-0.0223,0,4363,0.047,-0.2257,41,0.025,-0.316666667,2904,-0.0176,0.063,160,0.1765,-0.0244,1452,0.1273,-0.062,6379,-0.038,0.035,111.9199309,0.0005,0.1184,1874,-0.0032,-0.085,303980.0402,-0.017,-0.0217,10742,-0.0052,-0.0895,1.462067385,-0.1292,0.3684
202108,north dakota,nd,259900,-0.008,0.0744,2023,0.029,-0.2836,55.5,0.088235294,-0.1328125,772,-0.1498,-0.209,36,-0.1,-0.6087,552,0.1129,-0.2581,1183,-0.0475,-0.1244,124.0962099,-0.0086,0.0973,2128.5,-0.0049,-0.0105,305898.2565,-0.0162,0.0713,3206,-0.0006,-0.2321,0.584775087,-0.047,0.1064
202108,arkansas,ar,229500,0.02,0.0929,6130,0.0747,-0.2814,41.5,0.092105263,-0.371212121,3420,-0.0229,0.0892,88,0.1,-0.2903,1484,0.1778,-0.0608,6235,0.4222,0.326,116.7478336,0.0066,0.1315,1844,-0.0038,-0.0701,336024.1711,0.0072,0.157,12365,0.2257,-0.0655,1.017128874,0.2485,0.4659
202108,vermont,vt,350000,0,0.0769,1686,-0.0035,-0.4115,54.5,0.184782609,-0.263513514,820,-0.1734,-0.2293,24,0,-0.5385,360,0.0345,-0.2035,1135,0.0161,-0.3167,189.9454365,-0.0107,0.1872,1954,0.0198,-0.0422,545331.1847,0.013,0.1247,2821,0.0043,-0.3767,0.673190985,0.013,0.0934
202108,nebraska,ne,255000,-0.0189,0.02,3072,0.0431,-0.2209,45.5,0.011111111,-0.228813559,2036,-0.0414,0.0538,56,-0.2632,-0.7846,700,0.1364,-0.0838,4813,-0.0378,0.0105,129.4752103,-0.0072,0.102,1883.5,-0.0149,-0.0817,329148.3166,-0.0321,0.0766,7885,-0.0078,-0.0943,1.566731771,-0.1317,0.3588
